	Package	Version
239	ApacheLogProcessor	0.2.3
240	apaTables	2.0.5
241	apaText	0.1.1
242	APCanalysis	1
243	apcluster	1.4.8
244	apdesign	1.0.0
245	ape	5.6-2
246	apeglm	1.16.0
247	APFr	1.0.2
248	aphid	1.3.3
249	aplore3	0.9
250	aplot	0.1.8
251	aplpack	1.3.3
252	apng	1
253	APPEstimation	0.1.1
254	apple	0.3
255	appnn	1.0-0
256	approximator	1.2-7
257	aprean3	1.0.1
258	apricom	1.0.0
259	aprof	0.4.1
260	APSIMBatch	0.1.0.2374
261	apsrtable	0.8-8
262	APtools	6.8.8
263	apTreeshape	1.5-0.1
264	aqp	1.42
265	AquaEnv	1.0-4
266	AR	1.1
267	ar.matrix	0.1.0
268	arabicStemR	1.2
269	ArArRedux	1
270	ARCensReg	2.1
271	ArchaeoChron	0.1
272	ArchaeoPhases	1.5
273	archdata	1.2
274	archetypes	2.2-0.1
275	archivist	2.3.4
276	archivist.github	0.2.6
277	ArCo	0.3-1
278	ArDec	2
279	arena2r	1.0.0
280	arfima	1.7-0
281	argon2	0.2-0
282	argosfilter	0.63
283	ArgumentCheck	0.10.2
284	ARHT	0.1.0
285	ARIbrain	0.2
286	arm	1.11-2
287	armada	0.1.0
288	armspp	0.0.2
289	arnie	0.1.2
290	aroma.affymetrix	3.2.0
291	aroma.apd	0.6.0
292	aroma.cn	1.6.1
293	aroma.core	3.2.1
294	aroma.light	3.24.0
295	ARPobservation	1.2.0
296	arpr	0.1.1
297	aRpsDCA	1.1.1
298	arrangements	1.1.9
299	arrApply	2.1
300	arrayhelpers	1.1-0
301	ars	0.6
302	arse	1.0.0
303	ART	1
304	artfima	1.5
305	ARTP2	0.9.45
306	arules	1.6-6
307	arulesViz	1.3-3
308	aRxiv	0.5.19
309	asaur	0.44
310	asciiruler	0.2
311	asd	2.2
312	asdreader	0.1-3
313	ASGS.foyer	0.2.1
314	ash	1.0-15
315	ashr	2.2-54
316	asht	0.9.6
317	AsioHeaders	1.16.1-1
318	ASIP	0.4.9
319	askpass	1.1
320	ASMap	1.0-4
321	aspace	3.2
322	ASPBay	1.2
323	aSPC	0.1.2
324	aspect	1.0-5
325	aspi	0.2.0
326	aSPU	1.49
327	assertive.base	0.0-7
328	assertive.code	0.0-3
329	assertive.data	0.0-3
330	assertive.data.uk	0.0-2
331	assertive.data.us	0.0-2
332	assertive.files	0.0-2
333	assertive.matrices	0.0-2
334	assertive.models	0.0-2
335	assertive.numbers	0.0-2
336	assertive.properties	0.0-4
337	assertive.sets	0.0-3
338	assertive.strings	0.0-3
339	assertive.types	0.0-3
340	assertr	3.0.0
341	assertthat	0.2.1
342	AssetCorr	1.0.3
343	AssetPricing	1.0-1
344	ASSISTant	1.4.2
345	AssocAFC	1.0.2
346	assocInd	1.0.1
347	ASSOCShiny	0.1.0
348	assortnet	0.12
349	AssotesteR	0.1-10
350	AST	0.1.0
351	aster	1.0-3
352	aster2	0.3
353	astrochron	0.9
354	astrodatR	0.1
355	astroFns	4.1-0
356	astrolibR	0.1
357	astsa	1.11
358	asus	1.0.0
359	asVPC	1.0.2
360	asymLD	0.1
361	asymmetry	2.0.2
362	asympTest	0.1.4
363	asypow	2015.6.25
364	ATE	0.2.0
365	atlas	1.0.0
366	atmcmc	1
367	atmopt	0.1.0
368	AtmRay	1.31
369	aTSA	3.1.2
370	atsd	1.2.0
371	attempt	0.3.1
372	atus	0.2
373	AUC	0.3.0
374	aucm	2019.12-1
375	AUCRF	1.1
376	auctestr	1.0.0
377	audio	0.1-7
378	audiolyzR	0.4-9
379	audit	0.1-1
380	aurelius	0.8.4
381	AurieLSHGaussian	0.2.0
382	auto.pca	0.3
383	AutoDeskR	0.1.3
384	autoencoder	1.1
385	automagic	0.5.1
386	automap	1.0-16
387	automultinomial	2.0.0
388	AutoPipe	0.1.6
389	autoplotly	0.1.2
390	Autoplotprotein	1.1
391	AutoregressionMDE	1
392	AutoSEARCH	1.5
393	autoshiny	0.0.2
394	AutoStepwiseGLM	0.2.0
395	available	1.0.4
396	averisk	1.0.3
397	aVirtualTwins	1.0.1
398	AWR	1.11.189
399	AWR.Athena	2.0.7-0
400	AWR.Kinesis	1.7.3
401	AWR.KMS	0.1
402	aws	2.5
403	aws.ec2metadata	0.2.0
404	aws.s3	0.3.21
405	aws.signature	0.6.0
406	awsMethods	1.1-1
407	b6e6rl	1.1
408	babar	1
409	babel	0.3-0
410	babelgene	22.9
411	BaBooN	0.2-0
412	babynames	1.0.0
413	BACCO	2.0-9
414	BACCT	1
415	backpipe	0.2.3
416	backports	1.4.1
417	backtest	0.3-4
418	BACprior	2
419	bacr	1.0.1
420	badgecreatr	0.2.0
421	badger	0.0.9
422	BAEssd	1.0.1
423	baggedcv	1
424	baguette	1.0.0
425	balance	0.2.4
426	BalanceCheck	0.2
427	BalancedSampling	1.5.5
428	BALCONY	0.2.10
429	BALD	1.0.0-3
430	BALLI	0.2.0
431	BallMapper	0.2.0
432	bamdit	3.3.2
433	BAMMtools	2.1.7
434	BaMORC	1.0.1
435	bamsignals	1.26.0
436	bandit	0.5.0
437	bannerCommenter	0.1.1
438	banter	0.9.3
439	banxicoR	0.9.0
440	bapred	1
441	BaPreStoPro	0.1
442	BarBorGradient	1.0.5
443	barcode	1.1
444	Barnard	1.8
445	bartMachine	1.2.5.1
446	bartMachineJARs	1.1
447	Barycenter	1.3.1
448	basad	0.2.0
449	base	4.1.3
450	base2grob	0.0.3
451	base64	2
452	base64enc	0.1-3
453	base64url	1.4
454	baseballDBR	0.1.2
455	baseline	1.3-4
456	BASiNET	0.0.4
457	BASIX	1.1
458	BaSTA	1.9.4
459	bastah	1.0.7
460	batade	0.1
461	batch	1.1-5
462	BatchExperiments	1.4.2
463	BatchJobs	1.8
464	batchmeans	1.0-4
465	batchscr	0.1.0
466	batchtools	0.9.14
467	BaTFLED3D	0.2.11
468	batman	0.1.0
469	batteryreduction	0.1.1
470	bayesAB	1.1.2
471	bayesammi	0.1.0
472	BayesBinMix	1.4.1
473	bayesbio	1.0.0
474	bayesboot	0.2.2
475	BayesCombo	1
476	BayesComm	0.1-2
477	bayescount	0.9.99-5
478	BayesCR	2.1
479	BayesCTDesign	0.6.0
480	BayesDA	2012.04-1
481	bayesdistreg	0.1.0
482	BayesFactor	0.9.12-4.2
483	BayesGESM	1.4
484	BayesGOF	5.2
485	BayesianAnimalTracker	1.2
486	bayesianETAS	1.0.3
487	BayesianGLasso	0.2.0
488	BayesianNetwork	0.1.5
489	bayesImageS	0.6-0
490	bayesloglin	1.0.1
491	bayeslongitudinal	0.1.0
492	bayesm	3.1-4
493	bayesmix	0.7-4
494	BayesMixSurv	0.9.1
495	BayesNI	0.1
496	BayesPieceHazSelect	1.1.0
497	BayesPiecewiseICAR	0.2.1
498	bayesplot	1.9.0
499	bayespref	1
500	bayesQR	2.3
501	bayesreg	1.1
502	BayesRS	0.1.3
503	bayess	1.4
504	BayesSAE	1.0-2
505	BayesSpec	0.5.3
506	bayestestR	0.13.0
507	BayesTree	0.3-1.4
508	BayesTreePrior	1.0.1
509	BayesTwin	1
510	BayesValidate	0
511	bayesvl	0.8.5
512	BayesX	0.3-1
513	BayesXsrc	3.0-1
514	bayfoxr	0.0.1
515	BayHaz	0.1-3
516	BaySIC	1
517	baystability	0.1.0
518	BAYSTAR	0.2-9
519	bazar	1.0.11
520	BB	2019.10-1
521	bbefkr	4.2
522	bbemkr	2
523	BBI	0.3.0
524	BBmisc	1.13
525	bbmle	1.0.25
526	BBMM	3
527	BBMV	2.1
528	bbo	0.2
529	bbw	0.1.3
530	bc3net	1.0.4
531	BCA	0.9-3
532	bcaboot	0.2-1
533	BCBCSF	1.0-1
534	BCC1997	0.1.1
535	BCDating	0.9.8
536	BcDiag	1.0.10
537	BCE	2.1
538	BCEA	2.3-1.1
539	BCellMA	0.3.4
540	bcf	1.3
541	bcgam	1
542	BCgee	0.1
543	Bchron	4.7.3
544	Bclim	3.1.2
545	bcp	4.0.3
546	bcpa	1.1
547	bcpmeta	1
548	bcrm	0.5.4
549	bcrypt	1.1
550	BCSub	0.5
551	bcv	1.0.1
552	bdchecks	0.1.7
553	bdclean	0.1.15
554	bdDwC	0.1.15
555	bde	1.0.1
556	BDgraph	2.63
557	bdots	0.1.19
558	BDP2	0.1.3
559	bdpopt	1.0-1
560	bdpv	1.3
561	bdribs	1.0.4
562	bdscale	2.0.0
563	bdsmatrix	1.3-6
564	bdvis	0.2.22
565	BDWreg	1.2.0
566	bdynsys	1.3
567	bea.R	1.0.6
568	BEACH	1.3.1
569	beachmat	2.10.0
570	beadarray	2.44.0
571	beadarrayExampleData	1.32.0
572	beadarrayFilter	1.1.0
573	BeadDataPackR	1.46.0
574	beanplot	1.2
575	beast	1.1
576	BEDASSLE	1.5
577	bedr	1.0.7
578	beepr	1.3
579	beeswarm	0.2.3
580	beezdemand	0.1.0
581	beginr	0.1.7
582	behavr	0.3.2
583	belex	0.1.0
584	benchden	1.0.5
585	Benchmarking	0.29
586	bender	0.1.1
587	benford.analysis	0.1.5
588	BenfordTests	1.2.0
589	bentcableAR	0.3.0
590	benthos	1.3-6
591	berryFunctions	1.21.14
592	Bessel	0.6-0
593	bestglm	0.37.3
594	BESTree	0.5.2
595	betaboost	1.0.1
596	betacal	0.1.0
597	betafam	1
598	betalink	2.2.1
599	betapart	1.5.2
600	betareg	3.1-4
601	betategarch	3.3
602	bethel	0.2
603	beyondWhittle	1.1.1
604	bezier	1.1.2
605	bfast	1.5.7
606	bfsl	0.1.0
607	bgeva	0.3-1
608	BGGE	0.6.5
609	BGLR	1.1.0
610	bgmfiles	0.0.6
611	bgmm	1.8.5
612	BGSIMD	1
613	BH	1.78.0-0
614	Bhat	0.9-10
615	BHH2	2016.05.31
616	BHMSMAfMRI	1.3
617	BHTSpack	0.5
618	biasbetareg	1
619	BiasedUrn	2.0.8
620	bib2df	1.1.1
621	BiBitR	0.3.1
622	BibPlots	0.0.6
623	biclust	2.0.3
624	BICORN	0.1.0
625	BiDimRegression	2.0.0
626	BIFIEsurvey	3.3-12
627	biganalytics	1.1.21
628	bigassertr	0.1.5
629	bigdatadist	1.1
630	bigdist	0.1.4
631	bigleaf	0.8.2
632	biglm	0.9-2.1
633	bigmemory	4.6.1
634	bigmemory.sri	0.1.6
635	bigparallelr	0.3.0
636	BigQuic	1.1-9
637	bigReg	0.1.2
638	bigrquery	1.3.2
639	bigsplines	1.1-1
640	bigstatsr	1.3.1
641	bigstep	1.0.3
642	bigtabulate	1.1.5
643	bigtcr	1.1
644	bigtime	0.1.0
645	BigTSP	1
646	BigVAR	1.0.6
647	bikeshare14	0.1.2
648	billboard	0.1.0
649	bimetallic	1
650	bimixt	1
651	BimodalIndex	1.1.9
652	Binarize	1.3
653	BinarybalancedCut	0.2
654	BinaryEMVS	0.1
655	BinaryEPPM	2.3
656	binaryGP	0.2
657	binaryLogic	0.3.9
658	BINCOR	0.2.0
659	binda	1.0.3
660	bindata	0.9-20
661	bindr	0.1.1
662	bindrcpp	0.2.2
663	binequality	1.0.4
664	binford	0.1.0
665	bingat	1.3
666	binGroup	2.2-1
667	binhf	1.0-3
668	binMto	0.0-7
669	BinNonNor	1.5.3
670	binom	1.1-1.1
671	binomialcftp	1
672	binomlogit	1.2
673	binomSamSize	0.1-5
674	BinOrdNonNor	1.5.1
675	binostics	0.1.2
676	binr	1.1.1
677	binseqtest	1.0.3
678	binsreg	0.2.0
679	binst	0.2.1
680	bio.infer	1.3-6
681	bio3d	2.4-4
682	Biobase	2.54.0
683	BiocFileCache	2.2.1
684	BiocGenerics	0.40.0
685	BiocIO	1.4.0
686	BioCircos	0.3.4
687	BiocManager	1.30.19
688	Biocomb	0.4
689	BiocParallel	1.28.3
690	BiocSingular	1.10.0
691	BiocStyle	2.22.0
692	BiocVersion	3.13.1
693	Biodem	0.4
694	BioFTF	1.2-0
695	biogeo	1
696	biogram	1.6.3
697	bioinactivation	1.2.3
698	BioInstaller	0.3.7
699	Biolinv	0.1-2
700	BIOM.utils	0.9
701	BioMark	0.4.5
702	biomaRt	2.50.3
703	BioMedR	1.2.1
704	biomformat	1.22.0
705	bionetdata	1.0.1
706	bioOED	0.2.1
707	Biopeak	1
708	BioPET	0.2.2
709	bioPN	1.2.0
710	bioset	0.2.3
711	biosignalEMG	2.1.0
712	biospear	1.0.2
713	BioStatR	3.0.0
714	Biostrings	2.62.0
715	biotic	0.1.2
716	bipartite	2.18
717	bipartiteD3	0.2.0
718	BiProbitPartial	1.0.3
719	birdring	1.4
720	birk	2.1.2
721	birtr	1.0.0
722	BIS	0.2.1
723	bisect	0.9.0
724	bisectr	0.1.0
725	BiSEp	2.2
726	BisRNA	0.2.2
727	bit	4.0.4
728	bit64	4.0.5
729	bitops	1.0-7
730	BiTrinA	1.3
731	biva	0.1.0
732	BivarP	1
733	bivarRIpower	1.2
734	BivGeo	2.0.1
735	bivgeom	1
736	bivquant	0.1
737	biwavelet	0.20.21
738	biwt	1
739	bizdays	1.0.6
740	bjscrapeR	0.1.0
741	bkmr	0.2.0
742	BKPC	1.0.1
743	blackbox	1.1.32
744	blaise	1.3.4
745	BlakerCI	1.0-6
746	BlandAltmanLeh	0.3.1
747	blandr	0.5.1
748	blendedLink	1
749	blender	0.1.2
750	blin	0.0.1
751	blm	2013.2.4.4
752	blme	1.0-5
753	BLModel	1.0.2
754	blob	1.2.1
755	blockcluster	4.4.3
756	BlockCov	0.1.1
757	blockmatrix	1
758	BlockMessage	1
759	blocksdesign	4.9
760	blockTools	0.6-3
761	blogdown	1.15
762	blrm	1.0-1
763	BLRPM	1
764	BLRShiny	0.1.0
765	blsAPI	0.2.1
766	BLSM	0.1.0
767	bltm	0.1.0
768	BMA	3.18.17
769	bmass	1.0.3
770	bmd	0.5
771	bmeta	0.1.2
772	BMisc	1.4.5
773	Bmix	0.6
774	bmk	1
775	bmlm	1.3.12
776	bmmix	0.1-2
777	bmp	0.3
778	BMRBr	0.2.0
779	bmrm	4.1
780	BMRV	1.32
781	BMS	0.3.5
782	BMT	0.1.0.3
783	BNDataGenerator	1
784	bnlearn	4.8.1
785	BNN	1.0.2
786	bnormnlr	1
787	bnpa	0.3.0
788	bnpmr	1.2
789	BNPTSclust	2
790	BNSL	0.1.4
791	boa	1.1.8-2
792	BoardGames	1.0.0
793	bodenmiller	0.1
794	BOG	2
795	boilerpipeR	1.3
796	bold	1.2.0
797	Bolstad2	1.0-29
798	BoltzMM	0.1.4
799	BondValuation	0.1.0
800	BonEV	1
801	bookdown	0.3
802	BoolFilter	1.0.0
803	BoolNet	2.1.5
804	Boom	0.9.11
805	BoomSpikeSlab	1.2.5
806	boostr	1.0.0
807	boot	1.3.28
808	bootES	1.2
809	bootLR	1.0.2
810	BootMRMR	0.1
811	BootPR	0.7
812	bootRes	1.2.4
813	bootruin	1.2-4
814	bootspecdens	3
815	bootStepAIC	1.2-0
816	bootstrap	2019.6
817	BootstrapQTL	1.0.2
818	bootSVD	0.5
819	boottol	2
820	bor	0.1.0
821	boussinesq	1.0.3
822	boxplotdbl	1.3.0
823	bpa	0.1.1
824	bpcp	1.4.2
825	bPeaks	1.2
826	BPM	1.0.0
827	bpp	1.0.0
828	bqtl	1.0-32
829	braidrm	0.71
830	brainGraph	3.0.0
831	brainKCCA	0.1.0
832	brainR	1.6.0
833	Branching	0.9.4
834	brandwatchR	0.3.0
835	brea	0.2.0
836	breakage	1.1-1
837	breakpoint	1.2
838	bReeze	0.4-3
839	BRETIGEA	1.0.0
840	brew	1.0-8
841	brglm	0.7.2
842	brglm2	0.8.2
843	bridgedist	0.1.0
844	bridger2	0.1.0
845	bridgesampling	1.1-2
846	brio	1.1.3
847	briqr	0.1.0
848	BRISC	0.2.0
849	brms	2.14.4
850	Brobdingnag	1.2-9
851	broom	1.0.1
852	brotli	1.2
853	BrownDog	0.2.1
854	brr	1.0.0
855	brt	1.3.0
856	Brundle	1.0.9
857	BSagri	0.1-10
858	BSDA	1.2.0
859	bsearchtools	0.0.61
860	BSgenome	1.62.0
861	BSgenome.Hsapiens.UCSC.hg19	1.4.3
862	BSgenome.Hsapiens.UCSC.hg38	1.4.4
863	BSGS	2
864	BSGW	0.9.2
865	bshazard	1.1
866	bslib	0.4.1
867	BSPADATA	1
868	bspec	1.5
869	bsplinePsd	0.6.0
870	bspmma	0.1-2
871	BSSasymp	1.2-1
872	bsts	0.9.9
873	BTdecayLasso	0.1.0
874	bulletcp	1.0.0
875	bulletr	0.1
876	BullsEyeR	0.2.0
877	bullwhipgame	0.1.0
878	bunchr	1.2.0
879	bundesbank	0.1-9
880	bundesligR	0.1.0
881	bupaR	0.5.2
882	burnr	0.5.0
883	BurStFin	1.02
884	BurStMisc	1.1
885	bursts	1.0-1
886	busdater	0.2.0
887	BusinessDuration	0.2.0
888	butcher	0.3.0
889	bvarsv	1.1
890	bvenn	0.1
891	bvls	1.4
892	bwd	0.1.0
893	BWStest	0.2.2
894	bytescircle	1.1
895	c2c	0.1.0
896	c3net	1.1.1.1
897	C50	0.1.6
898	ca	0.71.1
899	cachem	1.0.6
900	cacIRT	1.4
901	CaDENCE	1.2.5
902	CADFtest	0.3-3
903	CADStat	3.0.8
904	caffsim	0.2.2
905	Cairo	1.6-0
906	calACS	2.2.2
907	Calculator.LR.FNs	1.3
908	calculus	1.0.0
909	calendar	0.0.1
910	calibrar	0.2.0
911	calibrate	1.7.7
912	calibrateBinary	0.1
913	calibrator	1.2-8
914	CalibratR	0.1.2
915	callr	3.7.3
916	CAMAN	0.74
917	camsRad	0.3.0
918	cancerGI	1.0.0
919	cancerTiming	3.1.8
920	candisc	0.8-6
921	Canopy	1.3.0
922	CANSIM2R	1.14.1
923	cap	1
924	caper	1.0.1
925	capn	1.0.0
926	CaPO4Sim	0.1.0
927	captioner	2.2.3
928	captr	0.3.0
929	capushe	1.1.1
930	capwire	1.1.4
931	car	3.1-1
932	carcass	1.6
933	carData	3.0-5
934	cardidates	0.4.8
935	cardioModel	1.4
936	care	1.1.10
937	CARE1	1.1.0
938	careless	1.1.3
939	caret	6.0-88
940	caribou	1.1
941	CarletonStats	2
942	CARLIT	1
943	caroline	0.7.6
944	carpenter	0.2.2
945	carrier	0.1.0
946	CARS	0.2.2
947	carSurv	1.0.0
948	cartools	0.1.0
949	carx	0.7.1
950	Cascade	1.8
951	CascadeData	1.2
952	caschrono	2.2
953	casino	0.1.0
954	cassandRa	0.1.0
955	cat	0.0-7
956	catch	1
957	catcont	0.5.0
958	CatDyn	1.1-1
959	Category	2.60.0
960	catenary	1.1.2
961	CatEncoders	0.1.1
962	CateSelection	1
963	catfun	0.1.4
964	catIrt	0.5-0
965	CATkit	3.3.3
966	catmap	1.6.4
967	caTools	1.18.2
968	CatPredi	1.1
969	catR	3.16
970	catspec	0.97
971	CATT	2
972	causaldrf	0.3
973	CausalGAM	0.1-4
974	CausalImpact	1.2.4
975	CausalKinetiX	0.2.1
976	causalsens	0.1.2
977	CautiousLearning	1.0.1
978	cba	0.2-22
979	cbanalysis	0.2.0
980	cbar	0.1.3
981	CBDA	1.0.0
982	cbird	1
983	cblasr	1.0.0
984	CBPS	0.21
985	cbsem	1.0.0
986	CBT	1
987	CC	1
988	CCA	1.2
989	ccaPP	0.3.3
990	cccd	1.6
991	ccChooser	0.2.6
992	cccp	0.2-9
993	ccdrAlgorithm	0.0.5
994	cclust	0.6-22
995	CCM	1.2
996	ccmm	1
997	CCP	1.2
998	CCpop	1
999	ccRemover	1.0.4
1000	ccrs	0.1.0
1001	cctools	0.1.2
1002	CCTpack	1.5.2
1003	cdb	0.0.1
1004	cdcsis	2.0.3
1005	cdfquantreg	1.2.2
1006	CDFt	1.0.1
1007	CDLasso	1.1
1008	CDM	8.2-6
1009	CDNmoney	2012.4-2
1010	cdom	0.1.0
1011	cdparcoord	1.0.1
1012	CDROM	1.1
1013	cds	1.0.3
1014	CDVineCopulaConditional	0.1.1
1015	CEC	0.10.2
1016	cec2013	0.1-5
1017	ceg	0.1.0
1018	celestial	1.4.6
1019	CellNOptR	1.40.0
1020	cellranger	1.1.0
1021	cellVolumeDist	1.3
1022	cellWise	2.4.0
1023	cenGAM	0.5.3
1024	censCov	1.0-0
1025	censNID	0-0-1
1026	censorcopula	2
1027	censReg	0.5-36
1028	CensRegMod	1
1029	Census2016	0.2.0
1030	censusGeography	0.1.0
1031	censusr	0.0.4
1032	censys	0.1.0
1033	centiserve	1.0.0
1034	centralplot	0.1.0
1035	CEoptim	1.2
1036	CepLDA	1.0.0
1037	cepp	1.7
1038	cepreader	1.1-3
1039	ceramic	0.6.0
1040	CerioliOutlierDetection	1.1.9
1041	cernn	0.1
1042	ceRtainty	1.0.0
1043	cetcolor	0.2.0
1044	cfa	0.10-0
1045	CFC	1.1.2
1046	CfEstimateQuantiles	1
1047	cfma	1
1048	cg	1.0-3
1049	cgAUC	1.2.1
1050	cgdsr	1.3.0
1051	CGP	2.1-1
1052	chandwich	1.1.5
1053	changedetection	0.2.0
1054	changepoint	2.2.4
1055	changepointsVar	0.1.0
1056	ChangepointTesting	1
1057	changer	0.0.3
1058	Chaos01	1.2.1
1059	ChaosGame	0.4
1060	ChargeTransport	1.0.2
1061	chartql	0.1.0
1062	CHCN	1.5
1063	cheb	0.3
1064	checkarg	0.1.0
1065	CheckDigit	0.1-1
1066	checkLuhn	1.1.0
1067	checkmate	2.1.0
1068	checkr	0.5.0
1069	chemCal	0.2.1
1070	ChemmineR	3.46.0
1071	chemometrics	1.4.2
1072	cherry	0.6-14
1073	CHFF	0.1.0
1074	chi	0.1
